dataset_role,compound_id,SMILES,leverage,standardized_residual,h_star_threshold,ad_status
train,,,0.053421900951030624,-0.789405277511113,0.3870967741935484,in_domain
train,,,0.05302981501389056,-0.2016987615554413,0.3870967741935484,in_domain
train,,,0.12268346598917358,1.0471962754812367,0.3870967741935484,in_domain
train,,,0.050893107864582565,4.132888448101597,0.3870967741935484,outlier
train,,,0.17003801529100035,-0.7393193405556088,0.3870967741935484,in_domain
train,,,0.43749622167211766,-0.10601948647495445,0.3870967741935484,high_leverage
train,,,0.09650027231413319,-0.5823056459273028,0.3870967741935484,in_domain
train,,,0.08267891997483942,-0.3822461380429069,0.3870967741935484,in_domain
train,,,0.044475714352071906,-1.0171727793557885,0.3870967741935484,in_domain
train,,,0.4382689379633504,0.26318036079657553,0.3870967741935484,high_leverage
train,,,0.10064662890078144,-0.2886207556493641,0.3870967741935484,in_domain
train,,,0.11116993508978322,-0.546424199572176,0.3870967741935484,in_domain
train,,,0.07326989005806107,-0.40510523357684236,0.3870967741935484,in_domain
train,,,0.23492108840397238,0.42477896522277847,0.3870967741935484,in_domain
train,,,0.1455071526399665,0.3952482558956002,0.3870967741935484,in_domain
train,,,0.05454341373434092,1.003405807545757,0.3870967741935484,in_domain
train,,,0.29946207114989565,-0.02459908021810334,0.3870967741935484,in_domain
train,,,0.06230226784707944,-1.5753113624226658,0.3870967741935484,in_domain
train,,,0.42763766635448763,0.8365933270032005,0.3870967741935484,high_leverage
train,,,0.054154121992138426,-0.54963475510162,0.3870967741935484,in_domain
train,,,0.13214714409174974,-0.9240846376236814,0.3870967741935484,in_domain
train,,,0.05657853813647874,-0.4506367880566125,0.3870967741935484,in_domain
train,,,0.06687399617195265,-0.47865488198644557,0.3870967741935484,in_domain
train,,,0.057407118636689194,-0.36657328803983547,0.3870967741935484,in_domain
train,,,0.14331011770970326,-0.46991614637652485,0.3870967741935484,in_domain
train,,,0.059897012108086775,-0.34292556072108366,0.3870967741935484,in_domain
train,,,0.05375727102717741,-0.20602408306291567,0.3870967741935484,in_domain
train,,,0.06288161970929552,-0.10217986089361843,0.3870967741935484,in_domain
train,,,0.1356637597438277,0.09388276726398147,0.3870967741935484,in_domain
train,,,0.06132675122854939,1.0140568230103402,0.3870967741935484,in_domain
train,,,0.05705606387979398,1.3376270324035657,0.3870967741935484,in_domain
query,0.0,COc1nc(CC(O)(COCc2ccccc2)COCc2ccccc2)c(C)c(OC)n1,0.05757650399262526,,0.3870967741935484,in_domain
query,1.0,O=c1[nH]c(=O)n(CCC(CO)CO)cc1C#Cc1ccc(Br)cc1,0.04999112609411263,,0.3870967741935484,in_domain
query,2.0,CCCCCC#Cc1cn(CCC(COC(C)=O)COC(C)=O)c(=O)n(C(=O)c2ccccc2)c1=O,0.1489296647269434,,0.3870967741935484,in_domain
query,3.0,CC(=O)OCC(CCn1cc(C#CCc2ccccc2)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,0.06579096907810808,,0.3870967741935484,in_domain
query,4.0,C#CCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,0.05773504959773958,,0.3870967741935484,in_domain
query,5.0,CCCCCc1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1,0.0535790369007091,,0.3870967741935484,in_domain
query,6.0,Cc1ccc(-c2cc3cn(C/C=C4\OC(=O)C(OCc5ccccc5)=C4OCc4ccccc4)c(=O)nc3o2)cc1,0.13730675834632777,,0.3870967741935484,in_domain
query,7.0,CCCCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,0.053686549623879726,,0.3870967741935484,in_domain
