row_index,compound_id,SMILES,n_nan_descriptors,n_inf_descriptors,n_total_affected_descriptors,affected_descriptors
397,negative:256,C[S+](C)[O-],1,0,1,Kier3
399,negative:258,ClCBr,36,0,36,SpMax6_Bhm;SpMax7_Bhm;SpMax8_Bhm;SpMin6_Bhm;SpMin7_Bhm;SpMin8_Bhm;SpMax6_Bhv;SpMax7_Bhv;SpMax8_Bhv;SpMin6_Bhv;SpMin7_Bhv;SpMin8_Bhv;SpMax6_Bhe;SpMax7_Bhe;SpMax8_Bhe;SpMin6_Bhe;SpMin7_Bhe;SpMin8_Bhe;SpMax6_Bhp;SpMax7_Bhp;SpMax8_Bhp;SpMin6_Bhp;SpMin7_Bhp;SpMin8_Bhp;SpMax6_Bhi;SpMax7_Bhi;SpMax8_Bhi;SpMin6_Bhi;SpMin7_Bhi;SpMin8_Bhi;SpMax6_Bhs;SpMax7_Bhs;SpMax8_Bhs;SpMin6_Bhs;SpMin7_Bhs;SpMin8_Bhs
400,negative:259,S=C=S,61,0,61,SpMax4_Bhm;SpMax5_Bhm;SpMax6_Bhm;SpMax7_Bhm;SpMax8_Bhm;SpMin4_Bhm;SpMin5_Bhm;SpMin6_Bhm;SpMin7_Bhm;SpMin8_Bhm;SpMax4_Bhv;SpMax5_Bhv;SpMax6_Bhv;SpMax7_Bhv;SpMax8_Bhv;SpMin4_Bhv;SpMin5_Bhv;SpMin6_Bhv;SpMin7_Bhv;SpMin8_Bhv;SpMax4_Bhe;SpMax5_Bhe;SpMax6_Bhe;SpMax7_Bhe;SpMax8_Bhe;SpMin4_Bhe;SpMin5_Bhe;SpMin6_Bhe;SpMin7_Bhe;SpMin8_Bhe;SpMax4_Bhp;SpMax5_Bhp;SpMax6_Bhp;SpMax7_Bhp;SpMax8_Bhp;SpMin4_Bhp;SpMin5_Bhp;SpMin6_Bhp;SpMin7_Bhp;SpMin8_Bhp;SpMax4_Bhi;SpMax5_Bhi;SpMax6_Bhi;SpMax7_Bhi;SpMax8_Bhi;SpMin4_Bhi;SpMin5_Bhi;SpMin6_Bhi;SpMin7_Bhi;SpMin8_Bhi;SpMax4_Bhs;SpMax5_Bhs;SpMax6_Bhs;SpMax7_Bhs;SpMax8_Bhs;SpMin4_Bhs;SpMin5_Bhs;SpMin6_Bhs;SpMin7_Bhs;SpMin8_Bhs;HybRatio
401,negative:260,C=C(Cl)Cl,25,0,25,SpMax7_Bhm;SpMax8_Bhm;SpMin7_Bhm;SpMin8_Bhm;SpMax7_Bhv;SpMax8_Bhv;SpMin7_Bhv;SpMin8_Bhv;SpMax7_Bhe;SpMax8_Bhe;SpMin7_Bhe;SpMin8_Bhe;SpMax7_Bhp;SpMax8_Bhp;SpMin7_Bhp;SpMin8_Bhp;SpMax7_Bhi;SpMax8_Bhi;SpMin7_Bhi;SpMin8_Bhi;SpMax7_Bhs;SpMax8_Bhs;SpMin7_Bhs;SpMin8_Bhs;Kier3
402,negative:261,CC(C)(C)O,1,0,1,Kier3
437,negative:296,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
469,negative:328,O=C(O)c1[nH]n(-c2ccc(S(=O)(=O)O)cc2)c(=O)c1N=Nc1ccc(S(=O)(=O)O)cc1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
521,negative:380,N#Cc1sc2c(=O)c3ccccc3c(=O)c=2sc1C#N,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
536,negative:395,CC(=O)O,1,0,1,Kier3
560,negative:419,NC(N)=S,1,0,1,Kier3
561,negative:420,FC(F)(Cl)Cl,37,0,37,SpMax6_Bhm;SpMax7_Bhm;SpMax8_Bhm;SpMin6_Bhm;SpMin7_Bhm;SpMin8_Bhm;SpMax6_Bhv;SpMax7_Bhv;SpMax8_Bhv;SpMin6_Bhv;SpMin7_Bhv;SpMin8_Bhv;SpMax6_Bhe;SpMax7_Bhe;SpMax8_Bhe;SpMin6_Bhe;SpMin7_Bhe;SpMin8_Bhe;SpMax6_Bhp;SpMax7_Bhp;SpMax8_Bhp;SpMin6_Bhp;SpMin7_Bhp;SpMin8_Bhp;SpMax6_Bhi;SpMax7_Bhi;SpMax8_Bhi;SpMin6_Bhi;SpMin7_Bhi;SpMin8_Bhi;SpMax6_Bhs;SpMax7_Bhs;SpMax8_Bhs;SpMin6_Bhs;SpMin7_Bhs;SpMin8_Bhs;Kier3
615,negative:474,CC(C)(C)c1ccc(CSc2cnn(C(C)(C)C)c(=O)c2Cl)cc1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
640,negative:499,COc1nn(CSP(=S)(OC)OC)c(=O)s1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
650,negative:509,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
657,negative:516,Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
662,negative:521,CCOP(=S)(OCC)SCn1nnc2ccccc2c1=O,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
664,negative:523,CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
