row_index,compound_id,SMILES,n_nan_descriptors,n_inf_descriptors,n_total_affected_descriptors,affected_descriptors
242,negative:101,Cc1[nH]n(-c2ccccc2)c(=O)c1N=Nc1ccc(-c2ccc(N=Nc3c(C)[nH]n(-c4ccccc4)c3=O)c(Cl)c2)cc1Cl,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
258,negative:117,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
260,negative:119,CCCCCCCCn1sccc1=O,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
269,negative:128,Cc1cc(=O)[nH]c(C(C)C)n1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
273,negative:132,O=C(O)Cn1c(=O)sc2cccc(Cl)c21,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
306,negative:165,CCCOc1nc2ccc(I)cc2c(=O)n1CCC,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
310,negative:169,Cc1c(C(=O)c2c[nH]n(C)c2=O)ccc(S(C)(=O)=O)c1C1=NOCC1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
311,negative:170,CSc1nnc(C(C)(C)C)c(=O)n1N,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
315,negative:174,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
324,negative:183,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
