SHCsats,minsssCH,maxaaCH,value
2.921931138196019,-0.064416099773243,2.0078186847257014,4.53
2.910315806878306,-0.0641670078525242,2.005730645315401,4.77
2.822442759511212,0.1266080876795157,2.0566057132602045,5.46
2.9555071334089185,-0.0821243018812469,2.0106796301128704,6.52
5.673963932927943,-0.416409310872458,2.004147943804468,4.1
4.904149804566679,-0.2894388009698052,0.0,4.12
5.163825982578846,-0.3990627251436236,1.717699423522975,4.15
4.0342699706498415,-0.5002719554942681,1.6569761807318002,4.19
3.1302573920226062,-0.3088491927665606,1.940355743291419,4.2
5.665122944105826,-0.2906754686316102,0.0,4.23
5.226452316435175,-0.3852789559137266,1.7254024823103662,4.28
4.78772090769538,-0.3155527092276167,2.0425316692173445,4.32
3.921689820461951,-0.4092853229866571,1.9873629643806,4.33
6.70022062891672,-0.3915320702764513,1.7305205813609883,4.49
3.255013340235202,-0.3994153538494271,1.01101224247734,4.51
3.037122234353276,-0.2601705141933321,2.1413090529166467,5.11
2.8226826878459907,-0.7610304800340424,1.909169281210224,4.22
2.8224969417597503,0.0,1.899736847834356,4.25
2.800343024747192,-0.8841545352116682,1.8843802143518824,4.46
2.310885635691796,0.0,1.927367363293139,4.7
0.0,0.0,2.096991846509708,4.7
1.721795097880647,0.0,1.922823405169176,4.77
1.249177766920475,0.0,2.0100997049129368,4.8
1.6997684233066246,0.0,1.8949349615837965,4.8
0.0,0.0,1.9158359613161235,4.85
1.7402880594049703,0.0,2.1137768259335754,4.85
2.0031276790758468,0.0,1.896320003135043,4.85
1.4594498804583704,0.0,2.0998879370446866,4.96
0.0,0.0,2.0197454263367,5.1
1.460621446457661,0.0,2.022641516871679,5.4
1.742433526788182,0.0,2.036530405760568,5.52
