AATS3i,AATS5i,ATSC5m,ATSC8v,ATSC4e,ATSC3p,ATSC5s,AATSC1m,AATSC8v,GATS5e,VR3_Dzi,VR2_Dzs,SpMax5_Bhs,nHCsats,SHCsats,SssO,minsssCH,maxHCsats,maxaaCH,ZMIC3,value
153.64513440871156,159.1379469852901,-401.0583127057238,-233.5010450948768,0.8828672356893091,-9.738920865761044,-11.705515243811444,2.122014154797125,-1.4413644758943012,1.060230366901582,18.67817734152225,8.615245654058967,3.622888652630112,4.0,2.921931138196019,17.091471066681066,-0.064416099773243,0.7414119583018393,2.0078186847257014,38.75717463125324,4.53
153.8432610678533,158.65120624514765,-444.28742720263335,-37.60568654650071,1.3786948787959872,-10.230877695334817,-5.77957687598914,2.1220141547971267,-0.245788800957521,1.0202918829390484,19.06963394934344,8.119479482925087,3.60547172295504,4.0,2.910315806878306,16.799250913416852,-0.0641670078525242,0.7382474332325522,2.005730645315401,38.75717463125324,4.77
155.02716241395802,159.0873381001625,-532.0125662282987,262.3041583514864,0.5628681854934489,-7.648007261483826,-3.025498744880436,2.474018234641333,1.681436912509528,1.178125706780052,49.36372245620056,13.197541697579185,3.3844817788100183,4.0,2.822442759511212,22.42353500940144,0.1266080876795157,0.7207997134038799,2.0566057132602045,39.96138816097336,5.46
153.56023508262297,158.01111097615737,-532.006315761816,255.1401215079081,2.049694670867403,-11.621450951432644,-6.427827953977904,2.4004680237493305,1.2091948886630717,1.0419799669319685,20.22050019571125,7.667805615565865,3.624947118912756,4.0,2.9555071334089185,22.37366510179104,-0.0821243018812469,0.7486555964978583,2.0106796301128704,40.95388342139521,6.52
157.49751623063798,159.4295996139031,1036.0280432662703,-66.12641844557353,1.8417192399736608,-1.0188139392127986,-0.698097012199553,1.476554437869706,-0.3555183787396426,0.9439701181472462,28.369395105594226,17.876205933736074,4.593510815370358,10.0,5.673963932927943,10.183079926284584,-0.416409310872458,0.8234330120937263,2.004147943804468,35.559994485820226,4.1
161.47544442637994,165.81136434298128,265.89178361728386,-718.6260121299094,0.7647100977777772,-1.5148099325962865,-16.159766803840842,-0.3426366716048864,-10.568029590145729,0.9150823284597293,12.225111871070464,17.91939052942923,3.776216771454141,10.0,4.904149804566679,0.0,-0.2894388009698052,0.6797916666666667,0.0,25.495656029414288,4.12
156.18344765747992,158.3962690572624,509.88603862769287,-1511.845052568608,1.818238321420103,-7.026526232361977,-15.847200854700857,1.4281746886283118,-9.2751230218933,1.0454981851447327,20.390076730032263,8.769053634866646,4.558072534318037,8.0,5.163825982578846,10.088690333839006,-0.3990627251436236,0.8044470147256944,1.717699423522975,36.82665187625063,4.15
159.2089389544719,160.03481239494317,477.00420684066586,-442.2701643279116,1.3715794487276198,-2.036772133163378,-20.10481229528852,1.2194426760801842,-2.8350651559481514,0.9065648265203448,23.92583021499095,13.894547051498504,4.624469989394299,5.0,4.0342699706498415,10.027831840850142,-0.5002719554942681,0.8534330120937264,1.6569761807318002,38.63056524753189,4.19
156.62576936077625,164.60550503239168,331.0018991395341,-358.1119233375117,0.5425510849107628,-3.382213786597725,-18.569767441860456,-0.1591904841314379,-5.266351813786937,0.9591370309587466,14.351124818798224,18.126284863537816,3.888456893132467,5.0,3.1302573920226062,0.0,-0.3088491927665606,0.6969368718753188,1.940355743291419,27.96698419611954,4.2
162.05028372192828,165.47488222411786,351.7854090346365,-488.1680202177622,1.1440618888888858,-1.3959499867299772,-8.77384354519131,-0.1926622976679822,-5.485033935031036,0.8347885981107744,14.484564247829804,11.425657111864457,3.804028873265635,13.0,5.665122944105826,0.0,-0.2906754686316102,0.6797916666666667,0.0,28.066362050017847,4.23
158.7020566528812,159.02271616639018,484.4200588085334,-362.5022976933493,0.3444924216961199,-1.8742338069542896,-17.38294526782272,1.2290271147614271,-2.308931832441715,0.9859906092558456,20.239401847248665,9.402461807518574,4.626059481319188,8.0,5.226452316435175,10.095487386486042,-0.3852789559137266,0.8043009120154889,1.7254024823103662,34.34874762239497,4.28
158.34110591392258,163.4396423283944,556.5762825599995,-486.03330974345096,0.9928391735537172,-1.357427292682909,-9.108585858585862,0.1427266429103133,-5.461048424083718,0.8436548447834579,17.091811388704073,13.761236040581508,3.962536720777356,10.0,4.78772090769538,0.0,-0.3155527092276167,0.7013790469891661,2.0425316692173445,29.06229757601505,4.32
155.85891899318247,158.55429809086283,952.7758857183188,-113.772877214364,0.4171392393549726,-2.35381395541948,-15.95331642157447,0.9212801196658192,-0.7293133154766923,1.0273808507864564,22.777065711594897,13.800380452815643,4.529909136926383,5.0,3.921689820461951,10.136826480272132,-0.4092853229866571,0.8230503980747488,1.9873629643806,39.32825667367475,4.33
160.2181359899605,160.69540211207658,947.7018153786466,-212.52745812354257,2.041289851239624,-0.5839069791648352,1.255280073461846,1.3488056358272946,-1.1365104712488907,0.9352316693647076,27.66159867971849,28.04029199949515,4.683884080668527,13.0,6.70022062891672,10.150415550017248,-0.3915320702764513,0.8044470147256944,1.7305205813609883,34.99664604372178,4.49
161.36341303518324,166.9448020265499,305.2157999294976,-753.1770560170019,1.202294592499999,-2.255954951392328,-23.671944444444488,-0.761889625834725,-12.76571281384749,0.8879912210014219,14.240599522265931,12.080415130850016,4.142344247307859,5.0,3.255013340235202,0.0,-0.3994153538494271,0.7313790469891661,1.01101224247734,31.35606284286188,4.51
157.70512665680928,167.36354675456303,363.4535621869376,-275.0822333110219,0.2780237599999998,-2.514553866046444,-24.77817418325353,1.292536724807298,-5.980048550239607,1.086345793773326,10.279567654636557,7.619698465048612,3.7945259106125855,5.0,3.037122234353276,0.0,-0.2601705141933321,0.6689360775174267,2.1413090529166467,26.59959675445539,5.11
156.75372945051538,159.93614864873837,15.5497556888688,-870.4352637950375,0.2574417969600034,-4.071839205397121,-25.851113404641254,1.906449174431392,-5.212187208353518,1.448207420376045,24.816925377283635,10.86651868401836,3.90393124754026,6.0,2.8226826878459907,17.38073229160287,-0.7610304800340424,0.830041794672449,1.909169281210224,38.29777724213528,4.22
156.9395888161171,159.17530345428054,270.0253936011106,-485.4177565747136,1.7007000067464912,-3.1501437774416443,-19.746650175221585,1.8478698492893904,-2.773815751855506,1.40063291643634,26.568850041936905,16.512043466827443,3.875234486636929,8.0,2.8224969417597503,17.318502958663615,0.0,0.571317659184921,1.899736847834356,39.72058989044988,4.25
156.25021276897277,158.82974007154647,115.51556294579134,-912.2692393830968,1.0010836388888775,-3.782493047319836,-35.41143689986279,1.4087595681557543,-5.631291601130227,1.4479012444376615,24.820656658534293,15.2021341185195,3.885839397807943,6.0,2.800343024747192,17.229103004200226,-0.8841545352116682,0.8213176591849207,1.8843802143518824,38.588117545549565,4.46
156.62033560140176,159.58096719545358,-43.96216087654509,-901.9430162552138,1.0652456666666534,-3.80270864517785,-25.95291066529493,2.366732302793917,-5.567549483056875,1.531993128827301,24.04847547232093,11.506261270256095,3.889000219932316,6.0,2.310885635691796,17.429345974604665,0.0,0.5800417946724492,1.927367363293139,38.10409497600496,4.7
151.71564691296678,156.90990154095408,-21.480587531247664,-901.742394078654,-0.0340357026367355,-7.456349424299512,-33.60834472823692,1.218791867074227,-6.350298549849676,1.6042414783533103,24.75939366837646,9.77872410185547,3.855760591549157,0.0,0.0,17.44979500593371,0.0,0.0,2.096991846509708,44.77114648336087,4.7
