ALogP,ALogp2,nX,ATS0m,AATS4m,AATS5m,AATS1v,AATS4v,AATS5v,AATS0e,AATS3p,AATS4p,AATS5p,AATS6p,AATS0i,AATS1i,AATS0s,ATSC0e,ATSC1e,ATSC0s,AATSC0m,AATSC0i,AATSC0s,MATS1c,GATS2s,SM1_Dzm,BCUTw-1h,BCUTp-1l,SpMax3_Bhp,SpMax3_Bhs,VPC-4,VPC-5,CrippenLogP,SwHBa,SaasC,SsCl,minwHBa,minaaCH,minaasC,maxwHBa,maxaasC,maxsCl,meanI,gmax,LipoaffinityIndex,MAXDN,nHBAcc,IC0,CIC0,CIC1,MIC0,ZMIC1,ZMIC5,MDEC-34,MLFER_BH,LipinskiFailures,TopoPSA,XLogP,Label
-0.8408,0.70694464,0.0,3005.403299999999,45.73200636842108,53.275999092307735,281.2523877632807,167.86377950782645,192.852034437186,7.322999555555558,1.4241620583353152,1.3058886840431827,1.4747502453520904,1.4385934404451546,157.31836021188846,144.1034116666632,2.6558641975308643,0.7125688888888875,-0.0561382716049373,9.533950617283953,31.18642222222222,1.5342013694491343,0.2648319615912208,-0.5371903161640849,0.8633862091291677,0.2850003569644457,14.00409227999635,6.586308959960938,3.6897866520529257,3.70478316991457,0.5515668461264172,0.7033474465469103,6.373980000000003,32.93226725875535,4.344593028824631,0.0,1.0785293314856808,2.01196263986668,1.0785293314856808,2.0677314814814816,1.0937671829266349,0.0,1.9833333333333336,3.3671997039556563,9.416633200514212,0.588137335180986,2.0,1.2516291673878228,3.918295834054489,3.2946093838225807,9.768022554765356,64.08879303056766,51.22857502740394,0.0,1.839,1.0,24.06,6.602000000000002,1
0.7443,0.55398249,1.0,2706.456157999999,61.74706656249997,59.27386681818178,311.78095482608273,181.59162990922897,148.23359581798755,7.472779611111109,1.723091228405158,1.4917209638826574,1.2981973715428634,1.1666902029396002,151.69591960481353,137.5060607931211,2.508010296533388,0.690686277777778,0.000375929012346,3.6005097461430333,68.74150428395062,1.279688644343249,0.2000283192301685,-0.3635574344043353,0.9767184916735848,0.6611847672778488,34.96937986400086,6.209405095118074,2.9172073929508944,2.9358935500082,0.5820543870642514,0.735825436560041,3.4932000000000007,19.37532536883066,1.486450617283951,0.9703536435150192,1.3438580246913585,2.0804831191735955,1.486450617283951,2.276406035665295,1.486450617283951,0.9703536435150192,1.8496071829405163,2.276406035665295,6.038852211864169,0.3753253688306598,0.0,1.2326602568158207,2.9372647446264915,2.2946093838225807,14.288319304760332,35.51933401648576,25.68621667532054,0.0,0.186,0.0,0.0,4.979000000000001,1
-1.9133999999999995,3.6610995599999976,0.0,1318.698368999998,16.962205412698356,16.145596518518524,202.9595550501789,96.75264057412524,94.23366687434758,6.9735835862069,0.9186915815911676,0.9067343653201284,0.8907914102920756,0.8684712732528009,166.87938776879244,145.60020724921432,1.5086206896551724,0.1472027586206895,-0.0112799048751456,2.706896551724142,25.91186875148632,1.1700883280865868,0.0933412604042807,-0.1100825287465469,1.1493276716206635,3.552713678800501e-15,12.110134441590946,5.107464721976749,3.045997117535607,3.139408609674708,0.0,0.0,3.7569000000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6111111111111112,2.2637110260770976,6.7626288973922914,0.1328125,0.0,0.8935711016541907,3.9644098934733822,3.727242977660362,6.65913786016461,31.375750671093662,34.817066149104086,0.0,0.0849999999999999,1.0,0.0,5.461,1
2.4316,5.91267856,5.0,8568.322770999997,131.81254205633806,122.50191902777772,332.1789709733986,249.15906245548595,229.56937096131296,8.267697965517245,1.975955238021151,1.918143777230929,1.840611753649888,1.780309063772274,153.98718201259453,139.85067828697836,3.4582886597396323,3.349254758620692,-0.2270657158145061,24.457722356242986,132.25878089655183,1.1780385354081084,0.843369736422172,-0.5210287197810506,0.8990701626839538,3.5551894154879093,34.9729788564561,6.211919921875002,3.392778347962335,3.756411295924324,3.261076419519284,4.275170770736527,5.0257,22.433850668296586,5.038065633660873,4.353463656610336,1.1061495338876293,2.1578521038044847,1.1061495338876293,2.1910941548544427,1.412883282942807,0.888657796223199,1.8947530864197528,11.621638951877046,7.419562765312342,1.987208504801097,1.0,1.6358453262922592,3.222135668835313,2.026030603522879,24.583926157828227,64.92036937220038,58.2932058236288,3.1810829150682025,0.76,1.0,20.23,6.110000000000001,1
4.4658,19.94336964,6.0,8405.799726000001,841.246225,1256.7025,442.75640480432224,482.9834331362028,503.97095841309095,9.8080705,3.836585714285713,4.1965,4.752400000000001,0.0,147.47689195345,136.40688008950005,2.2943148910227094,1.5943230000000006,1.942890293094024e-15,0.3090992226794697,137.34668025000005,0.728743932224999,0.0257582685566224,0.0,1.2222222222222223,3.967108603667143,34.9739572180167,7.471727101793606,2.9572514712679623,2.824591088379171,2.778991492842189,3.659783702265477,5.606999999999999,11.22724279835391,11.22724279835391,6.846831275720164,1.871207133058985,0.0,1.871207133058985,1.871207133058985,1.871207133058985,1.1411385459533607,1.506172839506173,1.871207133058985,4.347425761316872,0.2045404663923183,0.0,1.0,2.5849625007211565,2.5849625007211565,23.48442634,69.0,69.0,0.0,-0.091,0.0,0.0,3.372,1
3.2941000000000003,10.85109481,0.0,2444.315351999998,33.02759676760583,33.81358608108109,234.41097088657912,126.7487584617206,146.12370502206116,7.192564800000002,1.4933932810526305,1.0415344782238678,1.172874005270089,1.1254810709658871,163.13475689336195,144.05653859644633,2.755902777777778,1.1993244000000012,-0.0765443999999977,28.53541666666667,30.759904590000023,1.282176606378696,0.7133854166666668,-0.5649699152327192,0.4174796800819298,0.2492655790986333,15.994918402116628,6.244643650589627,3.3156330723262872,3.474367580126625,2.545043483951807,3.041903142918203,4.385810000000005,7.933240740740742,3.757500000000001,0.0,0.4635185185185191,2.0878703703703705,0.4635185185185191,2.0878703703703705,1.215416666666667,0.0,2.072916666666667,10.38449074074074,8.421426712962964,1.2677546296296298,0.0,1.1058666211014745,4.216061473785889,2.96258320962111,8.941402808156436,38.48599419378866,36.75562136842476,3.883934173658588,0.5229999999999999,1.0,20.23,5.9570000000000025,1
0.0,0.0,0.0,2318.3865759999985,63.19419737704928,45.97016992452836,317.0409412738777,229.3671489835276,188.40943968382845,7.224342153846156,1.8216539095797235,1.717870204004014,1.4929843597027346,1.193611454964049,149.14946991086504,135.87304285651723,2.5641025641025643,0.1459446153846151,0.0105248520710067,5.128205128205127,28.65467668639053,1.2939438315855607,0.1972386587771202,-0.09679504785835,0.9366319444444444,0.0,12.150204075570525,7.278453124999996,3.356213419328012,3.39990433388843,1.1639065304058605,1.9530713044151768,4.584000000000002,30.0,0.0,0.0,1.339074074074074,2.1146296296296296,0.0,2.2199074074074074,0.0,0.0,1.875,2.2199074074074074,9.258536111111113,0.3275925925925925,0.0,0.961236604722876,3.739203113418217,3.151859111618238,5.706823503510397,54.68850827847373,35.72821824288047,0.0,0.295,1.0,0.0,8.336000000000002,1
3.8079,14.50010241,15.0,7081.154896246553,268.5904790592991,266.7356704058283,310.3797314240053,230.43023402670897,227.02738717059933,12.836385538461538,0.7986966499354838,0.7773439946666666,0.7605759935999995,0.7354239919999996,235.5186334595865,172.8888299502459,40.75827991452992,9.141046153846156,-1.4747517633136145,257.5547542735042,18.721926999538592,7.904612211839082,9.90595208744247,-0.1634992810356438,1.3468303052205164,6.01536575195928,19.012591398726848,3.0031821825741427,3.059151948204402,6.681022992730752,2.086201035657532,1.9885925712440693,4.67899,-4.278821373456786,0.0,0.0,-4.278821373456786,0.0,0.0,0.0,0.0,0.0,5.736666666666666,12.825416666666667,12.39515301855001,9.720833333333331,2.0,1.4464643745207932,3.2539753436202994,2.7004999772524845,19.71147544301565,81.8549656442869,78.33403275598639,2.070996628837124,0.3330000000000002,1.0,37.3,5.904999999999999,1
1.3929999999999991,1.9404489999999976,0.0,1893.7227249999976,26.692272613861387,17.989935878048737,249.8279912237484,129.3774713146511,108.7659004920357,7.063195483870971,1.452886669921491,1.1205870019293638,1.0077157099484375,0.7736555379043679,160.54336663246718,141.60396387788126,1.8918010752688168,0.1790175483870964,0.0079958210197744,5.079301075268817,29.47913226430799,1.3311733289251455,0.163848421782865,-0.2700186861324469,0.5315008379641881,-3.552713678800501e-15,12.110219518117958,6.182306349354831,3.106614832026065,3.1031767461200976,1.8926861806345,2.7275612740129445,3.328520000000002,11.475416666666668,4.552824074074074,0.0,1.3994907407407409,2.2419675925925926,1.3994907407407409,2.357384259259259,1.5798611111111114,0.0,1.75,2.361435185185185,7.97374426351096,0.845949074074074,0.0,0.9811522341999132,3.9730440761869614,2.479613594858652,6.768173452159657,29.31680961424364,19.34858496856707,1.5000000000000004,0.1619999999999999,1.0,0.0,6.943000000000001,1
-0.7417999999999996,0.5502672399999994,0.0,1460.930361999998,15.988212866666617,9.39001384848486,231.86017289351588,98.14291453373345,73.39488444891387,7.012054000000004,1.092356481075449,0.927931842599554,0.758899691423638,0.6118457561367499,164.15933204773154,143.13599226973105,1.4126984126984128,0.1524599999999997,0.0098010000000034,1.4444444444444435,27.79576737244897,1.2551585254092072,0.0515873015873015,0.0247169041473227,1.2980769230769238,-7.105427357601002e-15,12.10017172591624,7.210096914561598,2.990466187121068,3.0556491231366865,0.9428090415820636,1.4999999999999996,3.3668000000000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4666666666666666,1.5601851851851851,6.937652777777777,0.1782407407407408,0.0,0.9402859586706308,3.8670689633869726,3.6092375009272,6.7790978643922335,35.42600365995918,31.950073603326903,0.0,0.093,1.0,0.0,5.228,1
