row_index,compound_id,SMILES,n_nan_descriptors,n_inf_descriptors,n_total_affected_descriptors,affected_descriptors
11,11,CCCCCc1ccc(C#Cc2cn(CCC(CO)CO)c(=O)[nH]c2=O)cc1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
12,12,CC(=O)OCC(CCn1cc(C#Cc2ccc(Br)cc2)c(=O)n(C(=O)c2ccccc2)c1=O)COC(C)=O,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
13,13,CCCCCCCCC#Cc1cn(CCC(COC(C)=O)COC(C)=O)c(=O)n(C(=O)c2ccccc2)c1=O,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
14,14,O=c1[nH]c(=O)n(CCC(CO)CO)cc1C#Cc1cc(F)cc(F)c1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
15,15,O=c1[nH]c(=O)n(CCC(CO)CO)cc1-c1cccs1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
16,16,CCCCC[C@H](O)c1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
17,17,CCCCCCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
18,18,CCCCC[C@H](O)C#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
19,19,CCCCCCc1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
20,20,O=C1O/C(=C\Cn2cc3cc(-c4ccc(Br)cc4)oc3nc2=O)C(OCc2ccccc2)=C1OCc1ccccc1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
21,21,CCCCc1cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)nc2o1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
22,22,O=C1O/C(=C\Cn2cc(C#CCCc3ccccc3)c(=O)[nH]c2=O)C(OCc2ccccc2)=C1OCc1ccccc1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
23,23,CCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
24,24,Cc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
25,25,CCCCCc1ccc(-c2cc3cn(C/C=C4\OC(=O)C(OCc5ccccc5)=C4OCc4ccccc4)c(=O)nc3o2)cc1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
26,26,CCCCCC#Cc1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)c(=O)[nH]c1=O,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
27,27,CCCCc1ccc(-c2cc3cn(C/C=C4\OC(=O)C(OCc5ccccc5)=C4OCc4ccccc4)c(=O)nc3o2)cc1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
28,28,O=C1O/C(=C\Cn2cc(C#Cc3ccc(Br)cc3)c(=O)[nH]c2=O)C(OCc2ccccc2)=C1OCc1ccccc1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
29,29,CCCCc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
30,30,CCCCCc1ccc(C#Cc2cn(C/C=C3\OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)c(=O)[nH]c2=O)cc1,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
