ALogP,nHBAcc,LipinskiFailures,Label
-0.8408,2.0,1.0,1
0.7443,0.0,0.0,1
-1.9133999999999995,0.0,1.0,1
2.4316,1.0,1.0,1
4.4658,0.0,0.0,1
3.2941000000000003,0.0,1.0,1
0.0,0.0,1.0,1
3.8079,2.0,1.0,1
1.3929999999999991,0.0,1.0,1
-0.7417999999999996,0.0,1.0,1
1.2840000000000005,0.0,1.0,1
2.6664000000000003,0.0,0.0,1
3.5552,0.0,0.0,1
4.208299999999998,0.0,1.0,1
0.6477999999999999,2.0,1.0,1
1.9259999999999995,0.0,1.0,1
2.8736,0.0,0.0,1
-0.0236000000000005,0.0,1.0,1
2.669,0.0,0.0,1
2.652099999999999,0.0,1.0,1
0.4371999999999991,0.0,1.0,1
0.7779999999999998,0.0,1.0,1
5.439999999999996,4.0,1.0,1
1.4886,0.0,1.0,1
3.3916000000000004,0.0,0.0,1
2.9772,0.0,1.0,1
1.4886,0.0,1.0,1
2.9772,0.0,1.0,1
4.4677,0.0,1.0,1
2.9772,0.0,1.0,1
2.0788,0.0,0.0,1
3.5674,0.0,1.0,1
1.2093000000000005,3.0,0.0,1
0.7044999999999998,3.0,0.0,1
2.6868000000000003,5.0,2.0,1
-3.277400000000002,1.0,1.0,1
4.2461,5.0,1.0,1
1.8142,1.0,0.0,1
-0.6274,5.0,1.0,1
2.6304000000000003,2.0,1.0,1
2.2711,1.0,1.0,1
0.4693999999999988,3.0,0.0,1
2.090600000000002,3.0,1.0,1
1.4561000000000006,1.0,1.0,1
2.600599999999999,4.0,1.0,1
2.179100000000001,1.0,1.0,1
1.3161000000000007,3.0,1.0,1
2.220200000000001,2.0,0.0,1
2.5470000000000006,0.0,1.0,1
3.8832,2.0,1.0,1
-1.3944000000000007,3.0,1.0,1
1.9373,3.0,1.0,1
3.859900000000001,3.0,0.0,1
-0.2548999999999997,2.0,1.0,1
2.3381,1.0,0.0,1
5.200200000000001,1.0,1.0,1
3.0565,4.0,1.0,1
1.7668999999999997,1.0,1.0,1
1.5502999999999996,0.0,1.0,1
0.8494000000000002,2.0,0.0,1
5.054499999999999,2.0,1.0,1
4.5846,2.0,1.0,1
4.3816,0.0,0.0,1
1.2686000000000002,3.0,1.0,1
3.1417,4.0,1.0,1
-0.4497999999999997,1.0,1.0,1
4.820500000000001,0.0,0.0,1
3.634,0.0,0.0,1
1.7776,0.0,1.0,1
0.0,0.0,1.0,1
2.2329,0.0,0.0,1
