ALogP,LipoaffinityIndex,nHBAcc,Label
-0.8408,9.416633200514212,2.0,1
0.7443,6.038852211864169,0.0,1
-1.9133999999999995,6.7626288973922914,0.0,1
2.4316,7.419562765312342,1.0,1
4.4658,4.347425761316872,0.0,1
3.2941000000000003,8.421426712962964,0.0,1
0.0,9.258536111111113,0.0,1
3.8079,12.39515301855001,2.0,1
1.3929999999999991,7.97374426351096,0.0,1
-0.7417999999999996,6.937652777777777,0.0,1
1.2840000000000005,7.176181018518519,0.0,1
2.6664000000000003,4.550242175925926,0.0,1
3.5552,4.877162808641976,0.0,1
4.208299999999998,10.52617954459562,0.0,1
0.6477999999999999,6.611341556713448,2.0,1
1.9259999999999995,7.825523129251701,0.0,1
2.8736,4.296736277049915,0.0,1
-0.0236000000000005,7.203312508503402,0.0,1
2.669,5.577112199888643,0.0,1
2.652099999999999,10.8408735191484,0.0,1
0.4371999999999991,6.747314351851851,0.0,1
0.7779999999999998,7.28099712962963,0.0,1
5.439999999999996,9.094688233418369,4.0,1
1.4886,7.007674485456734,0.0,1
3.3916000000000004,2.279446251714677,0.0,1
2.9772,7.244759290893311,0.0,1
1.4886,7.024464188152628,0.0,1
2.9772,7.294652008202458,0.0,1
4.4677,7.158714283079574,0.0,1
2.9772,7.276047309915735,0.0,1
2.0788,6.5697583608653805,0.0,1
3.5674,6.7495847517139005,0.0,1
1.2093000000000005,3.317842667469766,3.0,1
0.7044999999999998,6.74706265985578,3.0,1
2.6868000000000003,11.320313934212091,5.0,1
-3.277400000000002,7.567216403233534,1.0,1
4.2461,10.795613208198152,5.0,1
1.8142,7.930880235107013,1.0,1
-0.6274,8.56288720079303,5.0,1
2.6304000000000003,10.76149298695258,2.0,1
2.2711,5.935906910093557,1.0,1
0.4693999999999988,8.46412667260193,3.0,1
2.090600000000002,10.525691580621892,3.0,1
1.4561000000000006,5.500681885288065,1.0,1
2.600599999999999,8.53522088517463,4.0,1
2.179100000000001,7.482720863895096,1.0,1
1.3161000000000007,8.608561693674359,3.0,1
2.220200000000001,5.4850768429134105,2.0,1
2.5470000000000006,7.19430772408754,0.0,1
3.8832,6.077315719971659,2.0,1
-1.3944000000000007,8.02569603820135,3.0,1
1.9373,8.102737926682721,3.0,1
3.859900000000001,4.541319700193863,3.0,1
-0.2548999999999997,12.4368431797423,2.0,1
2.3381,5.6550675565843616,1.0,1
5.200200000000001,6.131279924336306,1.0,1
3.0565,15.055138797100234,4.0,1
1.7668999999999997,14.396416389220263,1.0,1
1.5502999999999996,8.93771724562388,0.0,1
0.8494000000000002,6.631244335687148,2.0,1
5.054499999999999,10.55620709828051,2.0,1
4.5846,6.969830046986495,2.0,1
4.3816,2.5918499057977105,0.0,1
1.2686000000000002,10.37484688961166,3.0,1
3.1417,9.061565250042868,4.0,1
-0.4497999999999997,8.917162126838054,1.0,1
4.820500000000001,2.479716061980348,0.0,1
3.634,1.1182782990397806,0.0,1
1.7776,7.271666894123905,0.0,1
0.0,8.156914814814815,0.0,1
2.2329,4.038822541152263,0.0,1
-0.4256000000000011,6.591360339191232,0.0,1
4.6333,5.563906128275384,1.0,1
2.9254,4.24143786760589,0.0,1
0.7443,8.328222993757173,0.0,1
1.9813000000000005,5.864340402730536,1.0,1
4.5014,12.988493794812012,3.0,1
2.9772,7.296796530923298,0.0,1
4.1609,4.288274720507545,0.0,1
2.9589999999999987,9.032802147581252,0.0,1
-1.5040000000000022,8.658951704144622,0.0,1
1.3345,6.584615869796479,0.0,1
-0.6398000000000014,10.480741433906337,1.0,1
1.5559999999999996,8.622126322751322,0.0,1
2.8231,6.665157667400752,0.0,1
2.9772,7.299072848635568,0.0,1
4.9415,5.60110858281893,0.0,1
1.8858,7.177449652777777,0.0,1
1.3345,6.429237655191935,0.0,1
2.0788,6.53404062711127,0.0,1
2.8231,6.686858745264224,0.0,1
2.8231,6.805370711241287,0.0,1
2.3812000000000006,6.521005787037036,0.0,1
0.0,9.861853605442176,0.0,1
5.739599999999999,1.6511436988046242,0.0,1
2.663900000000001,6.980147642942294,5.0,1
5.85,8.083553806584362,0.0,1
1.6600000000000017,4.285995462962963,1.0,1
2.0058,4.681414957307439,2.0,1
3.571599999999999,6.524146684918804,3.0,1
2.2055999999999987,10.134492730645244,3.0,1
0.8306999999999993,10.1798616643719,3.0,1
0.0366,8.185182183589484,1.0,1
3.4044,6.9174177475009815,2.0,1
3.135699999999999,12.101415656619013,2.0,1
0.8419000000000001,11.598987557220248,3.0,1
0.0,6.724015,0.0,1
3.1425,9.03935228156329,0.0,1
0.6420000000000001,6.522205925925928,0.0,1
3.7215,4.25802310356653,0.0,1
1.7401999999999995,8.639104135015117,0.0,1
-0.433899999999999,8.249281379418107,0.0,1
2.1293,4.242393307228241,0.0,1
0.4067999999999987,8.010575799319728,0.0,1
2.9772,7.279338154060093,0.0,1
3.7215,7.408254470862533,0.0,1
2.8231,6.672811289917774,0.0,1
2.8231,6.676243636856549,0.0,1
0.5564999999999993,9.648133724844104,0.0,1
0.8048999999999994,9.837813575889138,3.0,1
1.1458000000000002,7.642958888888888,0.0,1
5.4846,15.455511483239835,3.0,1
0.3570999999999993,9.555612853096552,3.0,1
3.0272999999999994,4.063687872491361,3.0,1
4.2426,6.3375444324417005,0.0,1
0.0,8.158820370370371,0.0,1
2.9772,4.162166556927297,0.0,1
0.4561999999999999,7.342459999999999,0.0,1
2.2329,4.046301121399177,0.0,1
0.6420000000000001,8.814316339758125,0.0,1
3.5281,5.01737082033911,3.0,1
1.4886,7.001813256557768,0.0,1
3.7215,7.336306383183016,0.0,1
3.7215,7.402909351882957,0.0,1
2.9772,7.242617165146009,0.0,1
3.7215,7.414862255569009,0.0,1
2.8231,6.820583231152543,0.0,1
1.7841999999999998,3.445630464677641,1.0,1
3.7215,7.387924028685663,0.0,1
3.7215,7.414248538075953,0.0,1
2.669,5.535422718878017,0.0,1
1.2488,2.738549296982167,2.0,0
3.5846,1.9646759259259257,0.0,0
0.0,10.442657771164022,0.0,0
0.926,3.388872599451303,0.0,0
0.8289000000000001,2.270929847131239,4.0,0
-0.7499,3.001003611111112,1.0,0
-1.1054000000000008,2.639417119367807,5.0,0
