ALogP,LipinskiFailures,TopoPSA,Label
-0.8408,1.0,24.06,1
0.7443,0.0,0.0,1
-1.9133999999999995,1.0,0.0,1
2.4316,1.0,20.23,1
4.4658,0.0,0.0,1
3.2941000000000003,1.0,20.23,1
0.0,1.0,0.0,1
3.8079,1.0,37.3,1
1.3929999999999991,1.0,0.0,1
-0.7417999999999996,1.0,0.0,1
1.2840000000000005,1.0,0.0,1
2.6664000000000003,0.0,0.0,1
3.5552,0.0,0.0,1
4.208299999999998,1.0,20.23,1
0.6477999999999999,1.0,24.06,1
1.9259999999999995,1.0,0.0,1
2.8736,0.0,18.46,1
-0.0236000000000005,1.0,0.0,1
2.669,0.0,18.46,1
2.652099999999999,1.0,20.23,1
0.4371999999999991,1.0,0.0,1
0.7779999999999998,1.0,0.0,1
5.439999999999996,1.0,36.92,1
1.4886,1.0,0.0,1
3.3916000000000004,0.0,0.0,1
2.9772,1.0,0.0,1
1.4886,1.0,0.0,1
2.9772,1.0,0.0,1
4.4677,1.0,9.23,1
2.9772,1.0,0.0,1
2.0788,0.0,9.23,1
3.5674,1.0,9.23,1
1.2093000000000005,0.0,68.15,1
0.7044999999999998,0.0,46.53,1
2.6868000000000003,2.0,85.62,1
-3.277400000000002,1.0,20.23,1
4.2461,1.0,76.66000000000001,1
1.8142,0.0,22.12,1
-0.6274,1.0,67.87,1
2.6304000000000003,1.0,30.82,1
2.2711,1.0,89.52000000000001,1
0.4693999999999988,0.0,63.97000000000001,1
2.090600000000002,1.0,27.96,1
1.4561000000000006,1.0,89.52000000000001,1
2.600599999999999,1.0,164.48000000000002,1
2.179100000000001,1.0,110.96,1
1.3161000000000007,1.0,59.31999999999999,1
2.220200000000001,0.0,70.64,1
2.5470000000000006,1.0,61.60000000000001,1
3.8832,1.0,69.59,1
-1.3944000000000007,1.0,46.150000000000006,1
1.9373,1.0,59.31999999999999,1
3.859900000000001,0.0,69.59,1
-0.2548999999999997,1.0,37.3,1
2.3381,0.0,12.53,1
5.200200000000001,1.0,89.52000000000001,1
3.0565,1.0,48.78,1
1.7668999999999997,1.0,20.23,1
1.5502999999999996,1.0,18.46,1
0.8494000000000002,0.0,29.1,1
5.054499999999999,1.0,26.3,1
4.5846,1.0,111.20000000000002,1
4.3816,0.0,43.14,1
1.2686000000000002,1.0,51.22,1
3.1417,1.0,67.43,1
-0.4497999999999997,1.0,40.58,1
4.820500000000001,0.0,129.42000000000002,1
3.634,0.0,0.0,1
1.7776,1.0,0.0,1
0.0,1.0,0.0,1
2.2329,0.0,0.0,1
-0.4256000000000011,1.0,0.0,1
4.6333,0.0,9.23,1
2.9254,0.0,9.23,1
0.7443,1.0,0.0,1
1.9813000000000005,0.0,89.52000000000001,1
4.5014,1.0,62.75,1
2.9772,1.0,0.0,1
4.1609,0.0,0.0,1
2.9589999999999987,1.0,20.23,1
-1.5040000000000022,1.0,0.0,1
1.3345,0.0,13.14,1
-0.6398000000000014,1.0,45.39,1
1.5559999999999996,1.0,0.0,1
2.8231,1.0,9.23,1
2.9772,1.0,0.0,1
4.9415,0.0,0.0,1
1.8858,1.0,0.0,1
1.3345,1.0,9.23,1
2.0788,1.0,9.23,1
2.8231,1.0,9.23,1
2.8231,0.0,13.14,1
2.3812000000000006,0.0,0.0,1
0.0,1.0,0.0,1
5.739599999999999,1.0,0.0,1
2.663900000000001,0.0,98.61,1
5.85,1.0,0.0,1
1.6600000000000017,1.0,98.31,1
2.0058,0.0,78.66999999999999,1
3.571599999999999,0.0,43.370000000000005,1
2.2055999999999987,1.0,59.31999999999999,1
0.8306999999999993,1.0,68.55,1
0.0366,2.0,102.78,1
3.4044,1.0,110.96,1
3.135699999999999,1.0,26.3,1
0.8419000000000001,1.0,46.53,1
0.0,1.0,0.0,1
3.1425,1.0,0.0,1
0.6420000000000001,1.0,0.0,1
3.7215,0.0,0.0,1
1.7401999999999995,1.0,0.0,1
-0.433899999999999,1.0,40.46,1
2.1293,0.0,18.46,1
0.4067999999999987,1.0,0.0,1
2.9772,1.0,0.0,1
3.7215,1.0,0.0,1
2.8231,1.0,9.23,1
2.8231,1.0,9.23,1
0.5564999999999993,1.0,0.0,1
0.8048999999999994,1.0,59.31999999999999,1
1.1458000000000002,1.0,0.0,1
5.4846,1.0,62.75,1
0.3570999999999993,2.0,67.31,1
3.0272999999999994,0.0,82.48,1
4.2426,0.0,0.0,1
0.0,1.0,0.0,1
2.9772,0.0,0.0,1
0.4561999999999999,1.0,0.0,1
2.2329,0.0,0.0,1
0.6420000000000001,1.0,0.0,1
3.5281,0.0,82.48,1
1.4886,1.0,0.0,1
3.7215,1.0,0.0,1
3.7215,1.0,0.0,1
2.9772,1.0,0.0,1
3.7215,1.0,0.0,1
2.8231,0.0,13.14,1
1.7841999999999998,0.0,20.23,1
3.7215,1.0,0.0,1
3.7215,1.0,0.0,1
2.669,0.0,18.46,1
1.2488,0.0,37.3,0
3.5846,0.0,0.0,0
0.0,1.0,0.0,0
0.926,0.0,20.23,0
0.8289000000000001,0.0,114.76000000000002,0
-0.7499,0.0,26.02,0
-1.1054000000000008,0.0,83.47,0
2.0293,0.0,0.0,0
2.2286,0.0,0.0,0
1.7428,0.0,0.0,0
2.3992,0.0,0.0,0
2.0212000000000003,1.0,18.46,0
-1.2914,0.0,88.77,0
-0.2638,1.0,17.07,0
0.2167,0.0,34.14,0
0.4439999999999997,0.0,95.42,0
0.8237000000000003,1.0,69.67,0
-1.7517,0.0,109.0,0
2.2329,0.0,0.0,0
-0.2944999999999998,0.0,68.54,0
1.4044,0.0,43.14,0
-0.0897999999999998,0.0,69.16,0
0.7566000000000002,0.0,106.51000000000002,0
-0.0962999999999997,0.0,26.02,0
-2.2932,0.0,171.74999999999997,0
-1.7517,0.0,109.0,0
0.1717999999999994,0.0,23.550000000000004,0
0.0,1.0,0.0,0
0.0,0.0,12.89,0
-0.4237999999999997,0.0,92.34,0
-0.4603,1.0,20.23,0
0.2397,0.0,71.82,0
0.5341000000000002,0.0,26.02,0
0.5341000000000002,0.0,26.02,0
1.7725999999999995,0.0,20.23,0
-0.1415999999999999,0.0,78.39,0
1.0981,0.0,0.0,0
0.1186000000000001,0.0,105.89,0
1.3163999999999996,0.0,37.3,0
1.1539000000000004,1.0,0.0,0
0.4449999999999998,0.0,52.04,0
-0.0041000000000001,1.0,20.23,0
-0.1541,1.0,9.23,0
-1.2981000000000005,0.0,63.93000000000001,0
-0.1308999999999998,1.0,9.23,0
-0.0676999999999997,0.0,12.03,0
0.2293999999999997,0.0,3.24,0
0.6137999999999999,1.0,0.0,0
1.4886,0.0,0.0,0
0.2839999999999999,0.0,20.23,0
1.8008000000000002,0.0,0.0,0
3.166300000000001,0.0,0.0,0
-2.2497,0.0,116.73,0
-0.2194000000000007,0.0,0.0,0
0.5337,0.0,12.89,0
0.5906,0.0,28.24,0
-9.714200000000003,2.0,58.2,0
-0.2582000000000007,0.0,59.61,0
2.4423999999999992,0.0,74.6,0
2.2038,0.0,54.57000000000001,0
-1.7827999999999984,2.0,52.60000000000001,0
-0.0676999999999997,0.0,12.03,0
0.1153999999999998,1.0,77.32,0
2.246199999999999,0.0,171.86,0
2.3071,0.0,112.73000000000002,0
-0.4204,0.0,12.03,0
-0.9780000000000004,0.0,42.52,0
2.4288,0.0,0.0,0
0.0,1.0,0.0,0
1.6458000000000004,0.0,108.72,0
0.0,1.0,12.89,0
1.3037,0.0,76.57000000000001,0
9.2427,2.0,3.24,0
2.2457000000000003,2.0,87.66000000000001,0
-1.2501,0.0,65.45,0
0.2081999999999997,0.0,54.57000000000001,0
1.9622000000000008,0.0,86.28,0
0.5743000000000003,0.0,12.03,0
-1.1160000000000003,0.0,36.60000000000001,0
0.3238999999999999,0.0,12.03,0
3.112400000000001,0.0,0.0,0
0.6420000000000001,1.0,0.0,0
0.2956,0.0,20.23,0
0.6420000000000001,1.0,0.0,0
1.6855000000000002,0.0,20.23,0
0.5575000000000015,0.0,88.03,0
-0.899,2.0,54.57000000000001,0
-1.405200000000003,0.0,17.07,0
2.0586,0.0,54.57000000000001,0
1.3717999999999997,0.0,53.84,0
-2.5433000000000017,1.0,46.53,0
3.0466,0.0,47.58,0
0.6562999999999986,0.0,20.23,0
0.9549999999999984,0.0,20.23,0
-0.5276,1.0,34.14,0
0.5911999999999998,0.0,38.33,0
-4.034100000000001,2.0,38.8,0
-0.2382000000000018,2.0,103.77,0
0.5336000000000005,0.0,40.46,0
-2.6742000000000004,2.0,78.90000000000002,0
1.6184999999999998,0.0,29.46,0
-0.3940000000000001,1.0,107.64,0
0.9552000000000002,0.0,92.65,0
3.2870000000000004,1.0,58.92,0
5.2586,1.0,0.0,0
-2.0645000000000016,0.0,52.900000000000006,0
1.1812,1.0,50.6,0
0.3068999999999999,1.0,0.0,0
1.009,0.0,74.6,0
0.1058999999999996,0.0,54.57000000000001,0
0.4900000000000012,0.0,12.47,0
-3.3010000000000024,2.0,50.6,0
-0.5579000000000003,0.0,49.33,0
1.1764999999999994,0.0,70.64,0
8.888,1.0,0.0,0
-1.1253999999999995,0.0,0.0,0
1.0398999999999998,0.0,20.23,0
2.443,0.0,41.900000000000006,0
-1.0602000000000025,0.0,20.23,0
-2.2416000000000027,0.0,20.31,0
-1.9242000000000008,1.0,20.23,0
-3.883800000000002,2.0,62.75,0
-2.5803,3.0,395.43,0
-1.0030999999999997,0.0,89.62,0
-4.363999999999999,2.0,41.28,0
1.9324,1.0,37.3,0
-1.0941999999999998,0.0,177.53999999999996,0
0.0,1.0,0.0,0
-0.5152000000000004,0.0,41.79,0
0.5755000000000015,0.0,70.64,0
1.0326,0.0,76.21,0
3.3816,0.0,70.69,0
-0.2319,0.0,57.61,0
-0.9399000000000002,0.0,149.05999999999997,0
2.0182,0.0,38.33,0
0.1203999999999997,0.0,87.42999999999999,0
0.4084,0.0,17.07,0
-4.993200000000002,2.0,138.33,0
1.2515000000000005,0.0,37.81,0
-0.0702,0.0,99.74,0
1.783500000000002,0.0,102.62,0
0.5587999999999999,1.0,54.5,0
0.6661999999999995,1.0,57.650000000000006,0
1.6693000000000005,1.0,35.010000000000005,0
2.6106000000000003,0.0,165.84,0
-6.609200000000001,2.0,78.9,0
-0.5919000000000008,0.0,55.24000000000001,0
2.7596000000000003,0.0,62.58,0
1.3459,0.0,58.040000000000006,0
1.0057000000000014,0.0,74.88,0
2.220100000000001,0.0,126.08,0
0.3921000000000014,0.0,67.42999999999999,0
2.4161,0.0,106.51000000000002,0
1.229899999999999,0.0,83.56,0
0.2883,0.0,76.21,0
0.3211999999999998,0.0,32.34,0
1.6924000000000006,0.0,46.17,0
0.7794999999999986,0.0,47.56,0
-0.7881999999999998,0.0,71.96000000000001,0
1.6381999999999974,1.0,58.64,0
0.2552999999999993,0.0,93.21,0
1.0381999999999998,0.0,50.19,0
2.524,1.0,106.97,0
0.5213999999999995,0.0,138.88,0
-1.1224999999999994,0.0,85.25,0
