Num_Features,Feature_Indices,Best_Features,Accuracy
2,"(0, 8)","['ALogP', 'AATS5v']",0.8454615809839691
3,"(0, 46, 55)","['ALogP', 'nHBAcc', 'LipinskiFailures']",0.8648313985627418
