row_index,compound_id,SMILES,n_nan_descriptors,n_inf_descriptors,n_total_affected_descriptors,affected_descriptors
34,positive:34,O=c1oc2cc([N+](=O)[O-])ccc2c2ccccc12,63,0,63,BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
65,negative:21,O=c1oc2ccc([N+](=O)[O-])cc2c2ccccc12,99,0,99,ATS0s;ATS1s;ATS2s;ATS3s;ATS4s;ATS5s;ATS6s;ATS7s;ATS8s;AATS0s;AATS1s;AATS2s;AATS3s;AATS4s;AATS5s;AATS6s;AATS7s;AATS8s;ATSC0s;ATSC1s;ATSC2s;ATSC3s;ATSC4s;ATSC5s;ATSC6s;ATSC7s;ATSC8s;AATSC0s;AATSC1s;AATSC2s;AATSC3s;AATSC4s;AATSC5s;AATSC6s;AATSC7s;AATSC8s;BCUTw-1l;BCUTw-1h;BCUTc-1l;BCUTc-1h;BCUTp-1l;BCUTp-1h;SCH-3;SCH-4;SCH-5;SCH-6;SCH-7;VCH-3;VCH-4;VCH-5;VCH-6;VCH-7;SC-3;SC-4;SC-5;SC-6;VC-3;VC-4;VC-5;VC-6;SPC-4;SPC-5;SPC-6;VPC-4;VPC-5;VPC-6;SP-0;SP-1;SP-2;SP-3;SP-4;SP-5;SP-6;SP-7;ASP-0;ASP-1;ASP-2;ASP-3;ASP-4;ASP-5;ASP-6;ASP-7;VP-0;VP-1;VP-2;VP-3;VP-4;VP-5;VP-6;VP-7;AVP-0;AVP-1;AVP-2;AVP-3;AVP-4;AVP-5;AVP-6;AVP-7;VABC
69,negative:25,O=C1C=CC(=O)c2c1ccc1c2ccc2ccccc21,36,0,36,ATS0s;ATS1s;ATS2s;ATS3s;ATS4s;ATS5s;ATS6s;ATS7s;ATS8s;AATS0s;AATS1s;AATS2s;AATS3s;AATS4s;AATS5s;AATS6s;AATS7s;AATS8s;ATSC0s;ATSC1s;ATSC2s;ATSC3s;ATSC4s;ATSC5s;ATSC6s;ATSC7s;ATSC8s;AATSC0s;AATSC1s;AATSC2s;AATSC3s;AATSC4s;AATSC5s;AATSC6s;AATSC7s;AATSC8s
